sample_uid,sample_id,dataset_source,source_batch,source_condition,contrast,contrast_short,condition_label,treatment_status,total_cells,compartment,feature_scope,feature,numerator_cells,denominator_cells,proportion
FAPTK__FC5,FC5,FAPTK,M2,FAP-TK_PBS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference,1519,Epithelial,Compartment recovery,Epithelial,589,1519,0.387755102040816
FAPTK__FC6,FC6,FAPTK,M2,FAP-TK_PBS,DSS induction in FAP-TK cohort,FAP-TK DSS induction,FAP-TK PBS,Reference,1219,Epithelial,Compartment recovery,Epithelial,1036,1219,0.849876948318294
FAPTK__FD2,FD2,FAPTK,M3,FAP-TK_GCV_DSS,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment,965,Epithelial,Compartment recovery,Epithelial,805,965,0.83419689119171
FAPTK__FD3,FD3,FAPTK,M3,FAP-TK_GCV_DSS,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment,8627,Epithelial,Compartment recovery,Epithelial,6165,8627,0.714616900428886
FAPTK__FD4,FD4,FAPTK,M3,FAP-TK_GCV_DSS,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment,5313,Epithelial,Compartment recovery,Epithelial,4285,5313,0.806512328251459
FAPTK__FD5,FD5,FAPTK,M3,FAP-TK_GCV_DSS,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment,21,Epithelial,Compartment recovery,Epithelial,16,21,0.761904761904762
FAPTK__FD6,FD6,FAPTK,M3,FAP-TK_GCV_DSS,FAP ablation during DSS,FAP ablation,FAP-TK GCV+DSS,Treatment,338,Epithelial,Compartment recovery,Epithelial,285,338,0.843195266272189
Merged_a5B1__M1,M1,Merged_a5B1,CD1,Control,DSS induction in a5B1 cohort,DSS induction,Control,Reference,14284,Epithelial,Compartment recovery,Epithelial,12386,14284,0.867124054886586
Merged_a5B1__M13,M13,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,1050,Epithelial,Compartment recovery,Epithelial,1023,1050,0.974285714285714
Merged_a5B1__M14,M14,Merged_a5B1,I1,DSS+ a5B1_inhibitor,alpha5beta1 blockade during DSS,alpha5beta1 blockade,DSS + alpha5beta1 blockade,Treatment,1193,Epithelial,Compartment recovery,Epithelial,1162,1193,0.974015088013411
